Priority Group,Paper,Year,Intersection Level,Platform Type,Data Type,Tool-Aware Role,Robot Platform,Weekend Role,Should Read Before Weekend,Paper/Project Link,Code,Dataset/Weights,Reusability,Main Limitation
P0-Tool-Sim Core,RobotSmith,2025,"L2B: AIGC/sim + tool-aware, no mobile",fixed-base manipulation,simulation task generation,tool-use action,fixed-base manipulation,Tool-aware motivation,Maybe,https://arxiv.org/abs/2506.14763,Not found after search,Not found after search,Conceptual,"VLM+physics tool design and use, but agent-heavy and not mobile/necessity"
P0-Tool-Sim Core,RIGVid: Robotic Manipulation by Imitating Generated Videos Without Physical Demonstrations,2025,"L2B: AIGC/sim + tool-aware, no mobile",fixed-base manipulation,AIGC generated video,tool-use action,real fixed-base arm,AIGC/sim data evidence,Yes,https://arxiv.org/abs/2507.00990,Not found after search,Not found after search,Conceptual,"Generated videos support wiping/mixing/pouring actions, but not mobile tool-state decisions"
P0-Runnable Baseline,Qwen3-VL,2025,Remove,general VLM reasoning,foundation model pretraining,not tool-aware,none; general VLM,Runnable baseline,Yes,https://arxiv.org/abs/2511.21631,https://github.com/QwenLM/Qwen3-VL,HF open weights,Runnable,"Useful reasoning baseline only; not mobile, simulation, or robot action policy"
P0-Runnable Baseline,RoboTwin 2.0,2025,L1A: only AIGC/sim,tabletop / bimanual manipulation,simulation task generation,not tool-aware,dual-arm tabletop robots,Runnable baseline,Yes,https://arxiv.org/abs/2506.18088,https://github.com/robotwin-Platform/robotwin,100K+ HF trajectories,Runnable,"Data generator reference, not mobile/quadruped and not tool necessity"
P0-Runnable Baseline,Learning Precise Affordances from Egocentric Videos / Aff-Grasp,2025,L1C: only tool-aware,tool-use / affordance only,human video / egocentric video,tool affordance,fixed-base grasping,Runnable baseline,Yes,https://openaccess.thecvf.com/content/ICCV2025/html/Li_Learning_Precise_Affordances_from_Egocentric_Videos_for_Robotic_Manipulation_ICCV_2025_paper.html,https://github.com/Reagan1311/Aff-Grasp,HF dataset and model,Adaptable,"Affordance-only; no mobile reachability, simulation pairs, or necessity"
P0-Runnable Baseline,GR00T N1 / current Isaac-GR00T N1.7,2025,L1A: only AIGC/sim,general robot foundation model,foundation model pretraining,not tool-aware,general/humanoid robots,Runnable baseline,Yes,https://arxiv.org/abs/2503.14734,https://github.com/NVIDIA/Isaac-GR00T,HF N1.7 weights and LeRobot examples,Adaptable,"Runnable policy foundation, but no mobile tool-aware mode output"
P1-Later AIGC / Policy,Video Generators are Robot Policies,2025,L1A: only AIGC/sim,AIGC / world model / video generation,AIGC generated video,not tool-aware,fixed-base simulated/real arms,Later policy baseline,Yes,https://arxiv.org/abs/2508.00795,https://github.com/cvlab-columbia/videopolicy,Released RoboCasa data/checkpoints,Adaptable,Video/action baseline is compute-heavy and not mobile/tool-aware
P1-Later AIGC / Policy,DreamGen / GR00T-Dreams,2025,L1A: only AIGC/sim,AIGC / world model / video generation,AIGC generated video,not tool-aware,multiple robot embodiments,Later policy baseline,Yes,https://arxiv.org/abs/2505.12705,https://github.com/nvidia/GR00T-dreams,Cosmos/IDM dependent assets,Adaptable,New quadruped embodiment needs IDM and label verification
P1-Later AIGC / Policy,Unified World Models,2025,L1A: only AIGC/sim,AIGC / world model / video generation,world model future prediction,not tool-aware,fixed-base manipulation,Later policy baseline,Yes,https://arxiv.org/abs/2504.02792,https://github.com/WEIRDLabUW/unified-world-model,LIBERO/DROID checkpoints,Adaptable,Future prediction does not imply tool necessity
P1-Later AIGC / Policy,NVIDIA Cosmos-Predict2,2025,L1A: only AIGC/sim,AIGC / world model / video generation,AIGC generated video,not tool-aware,general embodied video,Later policy baseline,Maybe,https://github.com/nvidia-cosmos/cosmos-predict2,https://github.com/nvidia-cosmos/cosmos-predict2,HF model collection,Adaptable,Archived/heavy and no robot decision labels
P1-Later AIGC / Policy,π0.5 / openpi,2025,L1A: only AIGC/sim,general robot foundation model,foundation model pretraining,not tool-aware,general robot embodiments,Later policy baseline,Yes,https://arxiv.org/abs/2504.16054,https://github.com/Physical-Intelligence/openpi,Public checkpoints/configs,Adaptable,Strong policy but substantial embodiment/action adaptation
P1-Later AIGC / Policy,Gemini Robotics / Robotics-ER,2025,Remove,closed / restricted reference,foundation model pretraining,not tool-aware,general robots,Later policy baseline,Maybe,https://arxiv.org/abs/2503.20020,Closed/restricted,No public weights,Conceptual,Restricted and not reproducible
Background / Remove,Guardian,2025,L1A: only AIGC/sim,failure / counterfactual data,simulation trajectories,not tool-aware,fixed-base manipulation datasets,AIGC/sim data evidence,Maybe,https://arxiv.org/abs/2512.01946,Not found after search,Failure benchmarks claimed,Conceptual,Failure data idea only; no public release and no tool-specific labels
Background / Remove,Dream2Fix,2026,L1A: only AIGC/sim,failure / counterfactual data,AIGC generated video,not tool-aware,fixed-base real manipulation,AIGC/sim data evidence,Maybe,https://arxiv.org/abs/2603.13528,Not found after search,120K pairs claimed; download not found,Conceptual,"Generated-data verification idea, not initial tool decision"
Background / Remove,AffordGrasp,2025,L1C: only tool-aware,tool-use / affordance only,no public data,tool selection,fixed-base grasping,Tool-aware motivation,No,https://arxiv.org/abs/2503.00778,No runnable code located,No public dataset/weights located,Conceptual,Tool affordance/how-to only; use Aff-Grasp as runnable substitute
Background / Remove,MLM,2025,L1B: only mobile/quadruped,quadruped-arm / legged mobile manipulation,simulation trajectories,not tool-aware,Go2 + Airbot arm,Background only,No,https://arxiv.org/abs/2508.10538,Not found after search,Not found after search,Conceptual,Whole-body execution only
